"number","name","dominions_version"
35,"<Unknown Attribute>",4.03
36,"<Unknown Attribute>",4.03
41,"<Unknown Attribute>",4.03
43,"<Unknown Attribute>",4.03
46,"<Unknown Attribute>",4.03
47,"<Unknown Attribute>",4.03
52,"<Unknown Attribute>",4.03
59,"<Unknown Attribute>",4.03
69,"<Unknown Attribute>",4.03
73,"<Unknown Attribute>",4.03
74,"<Unknown Attribute>",4.03
75,"<Unknown Attribute>",4.03
76,"<Unknown Attribute>",4.03
77,"<Unknown Attribute>",4.03
78,"<Unknown Attribute>",4.03
79,"<Unknown Attribute>",4.03
80,"<Unknown Attribute>",4.03
81,"<Unknown Attribute>",4.03
82,"<Unknown Attribute>",4.03
83,"<Unknown Attribute>",4.03
84,"<Unknown Attribute>",4.03
85,"<Unknown Attribute>",4.03
90,"<Unknown Attribute>",4.03
91,"<Unknown Attribute>",4.03
92,"<Unknown Attribute>",4.03
93,"<Unknown Attribute>",4.03
94,"<Unknown Attribute>",4.03
95,"<Unknown Attribute>",4.03
100,"<Unknown Attribute>",4.03
122,"<Unknown Attribute>",4.03
123,"<Unknown Attribute>",4.03
124,"<Unknown Attribute>",4.03
125,"<Unknown Attribute>",4.03
126,"<Unknown Attribute>",4.03
127,"<Unknown Attribute>",4.03
131,"<Unknown Attribute>",4.03
132,"<Unknown Attribute>",4.03
133,"<Unknown Attribute>",4.03
134,"<Unknown Attribute>",4.03
136,"<Unknown Attribute>",4.03
137,"<Unknown Attribute>",4.03
138,"<Unknown Attribute>",4.03
139,"<Unknown Attribute>",4.03
140,"<Unknown Attribute>",4.03
141,"<Unknown Attribute>",4.03
142,"<Unknown Attribute>",4.03
143,"<Unknown Attribute>",4.03
144,"<Unknown Attribute>",4.03
145,"<Unknown Attribute>",4.03
156,"<Unknown Attribute>",4.03
157,"<Unknown Attribute>",4.03
158,"<Unknown Attribute>",4.03
159,"<Unknown Attribute>",4.03
160,"<Unknown Attribute>",4.03
161,"<Unknown Attribute>",4.03
162,"<Unknown Attribute>",4.03
163,"<Unknown Attribute>",4.03
167,"<Unknown Attribute>",4.03
168,"<Unknown Attribute>",4.03
169,"<Unknown Attribute>",4.03
170,"<Unknown Attribute>",4.03
171,"<Unknown Attribute>",4.03
172,"<Unknown Attribute>",4.03
173,"<Unknown Attribute>",4.03
174,"<Unknown Attribute>",4.03
175,"<Unknown Attribute>",4.03
176,"<Unknown Attribute>",4.03
177,"<Unknown Attribute>",4.03
178,"<Unknown Attribute>",4.03
179,"<Unknown Attribute>",4.03
180,"<Unknown Attribute>",4.03
185,"<Unknown Attribute>",4.03
186,"<Unknown Attribute>",4.03
187,"<Unknown Attribute>",4.03
188,"<Unknown Attribute>",4.03
189,"<Unknown Attribute>",4.03
190,"<Unknown Attribute>",4.03
191,"<Unknown Attribute>",4.03
193,"<Unknown Attribute>",4.03
194,"<Unknown Attribute>",4.03
195,"<Unknown Attribute>",4.03
196,"<Unknown Attribute>",4.03
197,"<Unknown Attribute>",4.03
198,"<Unknown Attribute>",4.03
199,"<Unknown Attribute>",4.03
200,"<Unknown Attribute>",4.03
205,"<Unknown Attribute>",4.03
207,"<Unknown Attribute>",4.03
210,"<Unknown Attribute>",4.03
211,"<Unknown Attribute>",4.03
213,"<Unknown Attribute>",4.03
217,"<Unknown Attribute>",4.03
220,"<Unknown Attribute>",4.03
221,"<Unknown Attribute>",4.03
222,"<Unknown Attribute>",4.03
223,"<Unknown Attribute>",4.03
261,"<Unknown Attribute>",4.03
263,"<Unknown Attribute>",4.03
264,"<Unknown Attribute>",4.03
265,"<Unknown Attribute>",4.03
266,"Material Composition: Ferrous",4.03
267,"Material Composition: Ferrous",4.03
268,"Material Composition: Flammable",4.03
269,"Material Composition: Flammable",4.03
270,"<Unknown Attribute>",4.03
271,"<Unknown Attribute>",4.03
272,"<Unknown Attribute>",4.03
273,"<Unknown Attribute>",4.03
274,"<Unknown Attribute>",4.03
275,"<Unknown Attribute>",4.03
278,"Restrict to Nation {Spl: #restricted}",4.03
279,"<Unknown Attribute>",4.03
280,"<Unknown Attribute>",4.03
287,"<Unknown Attribute>",4.03
288,"<Unknown Attribute>",4.03
289,"<Unknown Attribute>",4.03
290,"<Unknown Attribute>",4.03
293,"<Unknown Attribute>",4.03
294,"<Unknown Attribute>",4.03
295,"<Unknown Attribute>",4.03
296,"<Unknown Attribute>",4.03
297,"<Unknown Attribute>",4.03
298,"<Unknown Attribute>",4.03
299,"<Unknown Attribute>",4.03
300,"<Unknown Attribute>",4.03
302,"<Unknown Attribute>",4.03
303,"<Unknown Attribute>",4.03
304,"<Unknown Attribute>",4.03
305,"<Unknown Attribute>",4.03
306,"<Unknown Attribute>",4.03
404,"<Unknown Attribute>",4.03
426,"<Unknown Attribute>",4.03
477,"<Unknown Attribute>",4.03
700,"Map Range {Spl: #provrange}",4.03
701,"<Unknown Attribute>",4.03
702,"Source Terrain (?) {Spl: #onlygeosrc}",4.03
703,"Only Target Own Provinces (?) {Spl: #onlyowndst}",4.03
704,"<Unknown Attribute>",4.03
705,"<Unknown Attribute>",4.03
706,"No Path over Land (?) {Spl: #nolandtrace}",4.03
707,"<Unknown Attribute>",4.03
708,"<Unknown Attribute>",4.03
709,"<Unknown Attribute>",4.03
711,"<Unknown Attribute>",4.03
