"number","name","dominions_version"
0,"<Unknown>",4.03
1,"Storm",4.03
2,"Friendly Currents",4.03
3,"Astral Tempest",4.03
4,"Rigor Mortis",4.03
5,"Soul Drain",4.03
6,"Heat",4.03
7,"Rain",4.03
8,"<Unknown>",4.03
9,"Cold",4.03
10,"Foul Air",4.03
11,"Acid Storm",4.03
12,"Wailing Winds",4.03
13,"Growing Fury",4.03
14,"Wrath of God",4.03
15,"Eyes of God",4.03
16,"Perpetual Storm",4.03
17,"Eternal Pyre",4.03
18,"Wrath of the Sea",4.03
19,"Arcane Nexus",4.03
20,"Forge of the Ancients",4.03
21,"Solar Brilliance",4.03
22,"<Unknown>",4.03
23,"<Unknown>",4.03
24,"Enchanted Forests",4.03
25,"Fire Storm",4.03
26,"Purgatory",4.03
27,"Gift of Nature's Bounty",4.03
28,"Sea of Ice",4.03
29,"Burden of Time",4.03
30,"Gift of Health",4.03
31,"<Unknown>",4.03
32,"Dark Skies",4.03
33,"Well of Misery",4.03
34,"Wrathful Skies",4.03
35,"Riches from Beneath",4.03
36,"Divination (?)",4.03
37,"Astral Projection (?)",4.03
38,"<Unknown>",4.03
39,"<Unknown>",4.03
40,"Light of the Northern Star",4.03
41,"Second Sun",4.03
42,"Looming Hell",4.03
43,"Ghost Ship Armada",4.03
44,"Illwinter",4.03
45,"Foul Vapors",4.03
46,"Mother Oak",4.03
47,"Maelstrom",4.03
48,"Earth Blood Deep Well",4.03
49,"Gale Gate",4.03
50,"Lure of the Deep",4.03
51,"Mechanical Militia",4.03
52,"Guardians of the Deep",4.03
53,"Fata Morgana",4.03
54,"Stellar Focus",4.03
55,"Haunted Forest",4.03
56,"Utterdark",4.03
57,"Astral Corruption",4.03
58,"Influence of the Ark",4.03
59,"Thetis' Blessing",4.03
60,"Dome of Flaming Death",4.03
61,"Dome of Solid Air",4.03
62,"Frost Dome",4.03
63,"<Unknown>",4.03
64,"Dome of Arcane Warding",4.03
65,"<Unknown>",4.03
66,"Forest Dome",4.03
67,"Dome of Corruption",4.03
68,"Blood Rain",4.03
69,"Iron Walls",4.03
70,"Mist",4.03
71,"Mists of Deception",4.03
72,"<Unknown>",4.03
73,"Vafur Flames",4.03
74,"<Unknown>",4.03
75,"Wild Hunt",4.03
76,"<Unknown>",4.03
77,"Darkness",4.03
78,"Shark Attack",4.03
79,"Strands of Arcane Power",4.03
80,"Kindly Ones",4.03
81,"<Unknown>",4.03
82,"<Unknown>",4.03
83,"Demon Cleansing",4.03
84,"Relief",4.03
85,"Quagmire",4.03
86,"Dance of the Morrigans",4.03
87,"Blood Vortex",4.03
88,"Howl",4.03
89,"Infernal Circle",4.03
90,"Celestial Rainbow",4.03
91,"Divine Channeling",4.03
92,"Ravenous Swarm",4.03
93,"Vengeful Water",4.03
94,"Blood Fecundity",4.03
95,"Trade Wind",4.03
96,"Fields of the Dead",4.03
97,"Solar Eclipse",4.03
