"number","name","comments","dominions_version"
-1,"<Disabled>",,4.03
0,"Nothing",,4.03
1,"<Undocumented Sprite>",,4.03
39,"<Undocumented Sprite>",,4.03
55,"<Undocumented Sprite>",,4.03
60,"<Undocumented Sprite>",,4.03
99,"<Undocumented Sprite>",,4.03
102,"<Undocumented Sprite>",,4.03
114,"<Undocumented Sprite>",,4.03
141,"<Undocumented Sprite>",,4.03
165,"<Undocumented Sprite>",,4.03
185,"<Undocumented Sprite>",,4.03
222,"<Undocumented Sprite>",,4.03
227,"<Undocumented Sprite>",,4.03
270,"<Undocumented Sprite>",,4.03
400,"<Undocumented Sprite>",,4.03
1317,"<Undocumented Sprite>",,4.03
1325,"<Undocumented Sprite>",,4.03
2329,"<Undocumented Sprite>",,4.03
2391,"<Undocumented Sprite>",,4.03
10000,"Nothing",,4.03
10001,"Falling shimmering colors",,4.03
10002,"Falling white",,4.03
10003,"Falling red",,4.03
10004,"Falling green",,4.03
10005,"Falling blue",,4.03
10006,"Falling light red",,4.03
10007,"Falling light green",,4.03
10008,"Falling light blue",,4.03
10009,"Falling purple",,4.03
10010,"Falling yellow",,4.03
10011,"Falling orange",,4.03
10012,"Falling cyan",,4.03
10013,"Falling yellowish mist (?)",,4.03
10014,"Falling sparkly orange mist",,4.03
10015,"Falling sparkly light blue",,4.03
10016,"Falling cyan colors",,4.03
10017,"Falling sparkly green",,4.03
10018,"Falling grey smoke balls",,4.03
10019,"Falling Bile",,4.03
10020,"Some falling smoke",,4.03
10021,"Shower of colorful lights",,4.03
10022,"White shower of lights",,4.03
10023,"red shower of lights",,4.03
10024,"green shower of lights",,4.03
10025," Blue shower of lights",,4.03
10026,"light red shower of lights",,4.03
10027,"Light green shower of lights",,4.03
10028,"light blue shower of lights",,4.03
10029,"purple shower of lights",,4.03
10030,"yellow shower of lights",,4.03
10031,"orange shower of lights",,4.03
10032,"cyan shower of lights",,4.03
10033,"greenish shower of lights",,4.03
10034,"orangish shower of lights",,4.03
10035,"White falling shower, transparent",,4.03
10036,"Vibrant falling colors",,4.03
10037,"falling orangish shower",,4.03
10038,"grey shower of mist",,4.03
10039,"Falling bile shower",,4.03
10040,"Shower of black smoke",,4.03
10041,"Rising colorful mist",,4.03
10042,"Rising white mist",,4.03
10043,"Rising red mist",,4.03
10044,"Rising green mist",,4.03
10045,"Rising blue mist",,4.03
10046,"Rising light red mist",,4.03
10047,"Rising light green mist",,4.03
10048,"Rising light blue mist",,4.03
10049,"Rising purple mist",,4.03
10050,"Rising yellow mist",,4.03
10051,"Rising orange mist",,4.03
10052,"Rising cyan mist",,4.03
10053,"Rising reddish flamish mist",,4.03
10054,"Rising light blue mist",,4.03
10055,"Rising green mist",,4.03
10056,"Rising white steamy mist",,4.03
10057,"Rising black mist",,4.03
10058,"Rising yellow transparent mist",,4.03
10059,"Rising bile",,4.03
10060,"Rising black smoke",,4.03
10061,"Few sparkling balls of light",,4.03
10062,"Few white lights",,4.03
10063,"Few red",,4.03
10064,"Few green",,4.03
10065,"Few blue",,4.03
10066,"Few white lights",,4.03
10067,"Few light green",,4.03
10068,"Few light blue",,4.03
10069,"Few purple",,4.03
10070,"Few yellow",,4.03
10071,"Few orange",,4.03
10072,"Few cyan",,4.03
10073,"Few orangish",,4.03
10074,"Few greenish",,4.03
10075,"Few white lights",,4.03
10076,"Few white lights",,4.03
10077,"Few white lights",,4.03
10078,"Few dark blue lights",,4.03
10079,"Few balls of bile",,4.03
10080,"Few balls of black smoke",,4.03
10081,"Small explosion of colorful lights",,4.03
10082,"Small explosion of white lights",,4.03
10083,"Small explosion of red lights",,4.03
10084,"Small explosion of green lights",,4.03
10085,"Small explosion of blue lights",,4.03
10086,"Small explosion of light red lights",,4.03
10087,"Small explosion of light green lights",,4.03
10088,"Small explosion of light blue lights",,4.03
10089,"Small explosion of purple lights",,4.03
10090,"Small explosion of yellow lights",,4.03
10091,"Small explosion of orange lights",,4.03
10092,"Small explosion of cyan lights",,4.03
10093,"Small explosion of greenish lights",,4.03
10094,"Small explosion of orangish lights",,4.03
10095,"Small explosion of colorful lights",,4.03
10096,"Smaller explosion of colorful lights",,4.03
10097,"Small explosion of red lights",,4.03
10098,"Few blinking grey lights",,4.03
10099,"Few blinking red",,4.03
10100,"Few blinking black smoke",,4.03
10101,"colorful explosion","discoball",4.03
10102,"white explosion",,4.03
10103,"red explosion",,4.03
10104,"green explosion",,4.03
10105,"blue explosion",,4.03
10106,"light red explosion",,4.03
10107,"light green explosion",,4.03
10108,"light blue explosion",,4.03
10109,"Mostly white, some purple explosion",,4.03
10110,"Mostly white, some yellow explosion",,4.03
10111,"Mostly white, some yellow explosion",,4.03
10112,"cyan explosion",,4.03
10113,"yellow explosion",,4.03
10114,"green explosion",,4.03
10115,"Dark red explosion",,4.03
10116,"white explosion",,4.03
10117,"white explosion",,4.03
10118,"Bloody explosion",,4.03
10119,"Explosions of small dark blue balls",,4.03
10120,"Explosion of black",,4.03
10121,"colorful explosion of gas","discoinferno!",4.03
10122,"Explosion of white steamy gas",,4.03
10123,"Explosion of red transparent mist",,4.03
10124,"Explosion of transparent green gas",,4.03
10125,"Explosion of blue transparent gas",,4.03
10126,"Explosion of shiny white gas",,4.03
10127,"Explosion of light green gas",,4.03
10128,"Explosion of light blue gas",,4.03
10129,"Explosion of purple transparent gas",,4.03
10130,"Explosion of yellow gas",,4.03
10131,"Explosion of orange gas",,4.03
10132,"Explosion of  transparent cyan gas",,4.03
10133,"Explosion of yelloew gas",,4.03
10134,"Explosion of shiny cyan gas",,4.03
10135,"Explosion of shiny colorful mist",,4.03
10136,"Explosion of light yellow gas",,4.03
10137,"Explosion of steamy white gas",,4.03
10138,"Explosion of steamy white gas (Smaller)","Same as 10137, takes less ”room”",4.03
10139,"Explosion of bile",,4.03
10140,"Spreading black smoke",,4.03
10141,"Rising purple mist",,4.03
10142,"Rising purple mist (Smaller)","Same as 10141, but less mist",4.03
10143,"Some black smoke",,4.03
10144,"Some blood",,4.03
10145,"Sparkly blue rain",,4.03
10146,"Blinky yellow spots",,4.03
10147,"Blinky black spots",,4.03
10148,"Blinky greenish spots",,4.03
10149,"Some purple blinky spots",,4.03
10150,"Expanding large explosion of yellowish light",,4.03
10151,"Blinky yellow spots",,4.03
10152,"Small purple explosion",,4.03
