"number","name","dominions_version"
0,"Nothing",4.03
1,"Club",4.03
3,"Laser (?)",4.03
5,"Menu Checkbox",4.03
6,"Menu Button",4.03
7,"Melee Weapons (Small)",4.03
8,"Melee Weapons (Large)",4.03
9,"Whips",4.03
10,"Bludgeons and Hafted Weapons (Short)",4.03
11,"Bludgeons and Hafted Weapons (Long)",4.03
12,"Polearms",4.03
13,"Crossbows",4.03
14,"Bows",4.03
15,"Slings",4.03
16,"Fiery Weapons",4.03
17,"Heavy Earth Impacts",4.03
18,"Malignant Effects",4.03
19,"Throwing Weapons",4.03
20,"Wails",4.03
21,"Frosty Weapons",4.03
22,"Mental Destroyers",4.03
23,"Gazing Weapons",4.03
24,"Shocking Weapons",4.03
25,"Growls (?)",4.03
26,"Howls",4.03
27,"Storms",4.03
28,"Horror Marks",4.03
29,"Elf Shots",4.03
30,"Holy Spells",4.03
31,"Buff Spells",4.03
32,"Blood Spells",4.03
33,"Weapon Hit #1",4.03
34,"Weapon Hit #2",4.03
35,"Weapon Hit #3",4.03
36,"Weapon Hit #4",4.03
37,"Weapon Hit #5",4.03
38,"Bodily Weapons",4.03
39,"Freezing Spells",4.03
40,"Shattering Effects",4.03
41,"Hypnotizing Weapons",4.03
42,"Mists and Phantasms",4.03
43,"Creation of Undead",4.03
44,"Songs",4.03
45,"Earth Spells",4.03
46,"Blowpipes",4.03
47,"Mass Buff Spells",4.03
48,"Trampling Elephant",4.03
49,"Trampling Behemoth",4.03
50,"Poisonous Weapons",4.03
51,"Trampling Boar",4.03
52,"Poisonous Bludgeons (?)",4.03
53,"Earthquake Aftershock",4.03
78,"Bodily Attacks",4.03
79,"Bodily Attacks",4.03
80,"Female Death Cry (Priestess)",4.03
81,"Female Death Cry (Maenad, etc...)",4.03
82,"Male Death Ugh (Militia, etc...)",4.03
83,"Venomous Bodily Attacks",4.03
84,"Destruction of Undead",4.03
85,"Venomous Bodily Weapons",4.03
86,"Iron Dragon Attacks",4.03
87,"Natural Weapons",4.03
88,"Tiny Attacks",4.03
