bit_value,bit_name,dominions_version
1,Disease,4.03
2,Curse,4.03
4,"Starve (?, Dominions 3)",4.03
8,Carry Plague,4.03
16,<Unknown>,4.03
32,Rapidly Fatigue,4.03
64,Entangle,4.03
128,Enrage (Dominions 3: Cause Confusion),4.03
256,Decay,4.03
512,Immolate,4.03
1024,Destroy Armor,4.03
2048,Rust Armor,4.03
4096,Blind,4.03
8192,Bleed,4.03
16384,Earth Grip,4.03
32768,<Unknown>,4.03
65536,Bonds of Fire,4.03
131072,False Fetters,4.03
262144,Cause Limp,4.03
524288,"Remove Eye (?, Dominions 3)",4.03
1048576,"Weaken (?, Dominions 3)",4.03
2097152,Cause Battle Fright,4.03
4194304,"Mute (?, Dominions 3)",4.03
8388608,Wound Chest,4.03
16777216,Cripple,4.03
33554432,Enfeeble Mind,4.03
67108864,"Permanently Wound (?, Dominions 3)",4.03
134217728,Slime,4.03
268435456,Freeze,4.03
536870912,"Web (?, Dominions 3)",4.03
1073741824,"Remove Arm (?, Dominions 3)",4.03
2147483648,<Unknown>,4.03
4294967296,Diminuition,4.03
8589934592,<Unknown>,4.03
17179869184,Cause Confusion (?),4.03
34359738368,<Unknown>,4.03
68719476736,Fascinate,4.03
137438953472,<Unknown>,4.03
274877906944,<Unknown>,4.03
549755813888,<Unknown>,4.03
1099511627776,<Unknown>,4.03
2199023255552,<Unknown>,4.03
4398046511104,<Unknown>,4.03
8796093022208,<Unknown>,4.03
17592186044416,<Unknown>,4.03
35184372088832,<Unknown>,4.03
70368744177664,<Unknown>,4.03
140737488355328,<Unknown>,4.03
281474976710656,<Unknown>,4.03
562949953421312,<Unknown>,4.03
1125899906842624,<Unknown>,4.03
2251799813685248,<Unknown>,4.03
4503599627370496,<Unknown>,4.03
9007199254740992,<Unknown>,4.03
18014398509481984,<Unknown>,4.03
36028797018963968,<Unknown>,4.03
72057594037927936,<Unknown>,4.03
144115188075855872,<Unknown>,4.03
288230376151711744,<Unknown>,4.03
576460752303423488,<Unknown>,4.03
1152921504606846976,<Unknown>,4.03
2305843009213693952,<Unknown>,4.03
4611686018427387904,<Unknown>,4.03
